"","ME8","ME2","ME9","ME13","ME6","ME11","ME7","ME1","ME3","ME14","ME4","ME5","ME10","ME12","ME0"
"tumor.rep16",-0.0711659343713493,-0.104705815653622,-0.0260238777449989,0.0846063139376132,0.10235278193943,0.0878423081333658,0.0577857599343952,0.0655774761514216,0.102848029957974,0.106834161656621,0.0155331377963463,-0.0424583257439354,0.08415837314111,0.00430705293745963,0.0586456268489977
"tumor.rep17",-0.0805019645333263,-0.101410427103907,0.00512147326565007,0.122470608851643,0.131872737915533,0.095811139689499,-0.0185328818259999,0.0665459501429757,0.0815847942274587,0.0254653031927692,0.0323541161556901,-0.0127399186701603,0.0865837864046888,0.0628916147696576,0.0851605168607888
"tumor.rep18",-0.0538540089267515,-0.103417374918578,-0.0233597714576592,0.182106966371416,0.211185994590331,0.188646296921954,0.0837017638540166,0.0743223111843887,0.109103385449326,-0.075468475268035,-0.0889295610624321,-0.0866493637890376,0.0662350103996628,-0.0444303361890708,0.0333770935384547
"tumor.rep19",-0.0721878361520644,-0.0911629380012234,-0.0741424868148818,0.153822074122121,0.16244514660475,0.14358063213864,-0.0874107745653023,0.0938621286788197,0.118342163113484,-0.131666389773871,-0.071429332738101,-0.0660823760774924,0.0803865266567256,-0.0486217324402587,0.0194243147870372
"tumor.rep20",-0.0804944323888456,-0.0919147784691851,-0.074233741248822,0.0307970718357409,0.0756523429667045,0.00718119612735795,0.093077042020942,0.103882466003667,0.0365943414131122,0.097848315065309,0.0232194054507319,-0.016643929845461,-0.0140734122856799,0.0572002760418815,0.0692496941470382
"tumor.rep21",-0.0832623798532579,-0.0794337030335279,-0.0173260858753273,0.0715423226566503,0.105862646840241,0.0570132930817896,0.117989092849071,0.102626186909912,0.0634506247730444,-0.0880102091928219,-0.00289216322451178,-0.024805839414637,0.0131915565586115,0.0214499216339851,0.0766918423072197
"tumor.rep22",-0.0871049150330182,-0.123846092479647,-0.0804970089403187,0.148942307015984,0.170632814063706,0.14147013787902,0.152190237917117,0.0861217188350572,0.0931888606881059,-0.0162976878626116,-0.0372821788015479,-0.0509404146471386,0.0444753335680174,-0.0169596488573751,0.0538061015311395
"tumor.rep23",-0.0697604247255045,-0.0991956656643344,-0.0522842254050106,0.0103244973683063,0.0429288439520737,0.010213706795564,0.0025565384293837,0.0627839111797927,0.0900846196218818,0.141150421108369,0.0328912679033442,-0.000522324086718747,0.0542837836968145,0.0114613384560218,0.0502607977782894
"tumor.rep24",-0.0690645084598822,-0.017309133591175,-0.0208159139483344,0.00472821085450369,0.0281858090581327,0.0031860341856347,0.222217740110214,0.0320403535905838,0.0123370763110864,-0.110928937912488,-0.00212775573444221,-0.0267491390627,0.000400340687459439,-0.0107814822551146,0.0165388863929537
"tumor.rep25",0.158151132833834,-0.0716724246883056,-0.0739420072691864,0.0824867327484118,0.0989678380829606,0.0414814492458753,0.0505680282999489,0.0892778288342079,0.0720615578170778,-0.106401167343275,-0.0432988691871867,-0.0396396498089972,0.0121872447310192,-0.0231029589455319,0.0188885874200611
"tumor.rep26",-0.0178382750087118,-0.0400231933995345,-0.111251917884398,0.0905140411096018,0.139929937456784,0.0992042408590921,0.115084583817663,0.126422428901832,-0.0154306680355434,-0.0714163963632,-0.0497104720677589,-0.0362754516680557,-0.133167829208609,0.00230695243690924,0.0557420970193268
"tumor.rep27",-0.0774241525701684,-0.0541803469422683,-0.06576918566421,0.200346149282141,0.160306643210326,0.194596211357347,-0.0864023269401687,0.0410262600699086,0.119624754279579,-0.102566230700226,-0.106908962053012,-0.0832122874950371,0.0833050685095621,-0.0954426515202052,-0.0421681939704237
